name,temp,humidity,clouds,wind_speed,country code,lat,lng
menongue,59.6,28.5,0.0,5.145,ao,-14.662,17.688
wawa,61.703,68.375,21.0,4.986,ca,48.0,-84.783
sainte-suzanne,67.719,75.417,56.042,18.461,re,-20.9,55.617
edson,64.175,62.583,26.5,7.24,ca,53.583,-116.417
fez,96.568,12.667,33.292,8.681,ma,34.037,-5.0
asimion,81.119,61.625,11.667,16.515,gr,35.05,25.1
moyale,72.505,52.792,88.75,12.444,et,3.569,39.083
tres picos,81.473,70.375,68.833,4.078,mx,15.867,-93.533
zigong,77.741,92.542,82.167,3.145,cn,29.342,104.777
mangan,76.975,89.917,96.417,1.5,in,27.517,88.533
campbell river,68.914,55.083,27.042,8.585,ca,50.017,-125.25
zhob,89.071,35.875,5.375,6.538,pk,31.341,69.448
poronaysk,66.272,83.25,55.667,6.823,ru,49.217,143.117
ortigueira,57.703,67.042,0.0,1.628,br,-24.2,-50.917
malindi,77.648,80.542,50.708,11.297,ke,-3.217,40.117
alcaniz,74.521,62.458,44.958,4.707,es,41.05,-0.133
namtsy,56.225,72.25,3.333,7.549,ru,62.716,129.666
stoyba,67.005,92.958,82.125,3.19,ru,52.8,131.7
holetown,81.275,83.042,63.333,23.399,bb,13.183,-59.65
hunza,75.906,48.292,23.75,3.989,pk,36.319,74.664
leticia,76.555,94.042,65.833,2.84,co,-4.215,-69.941
sedkyrkeshch,61.475,68.542,36.25,5.591,ru,61.75,50.917
alta floresta,77.36,41.125,33.667,5.238,br,-9.9,-55.9
hay river,66.95,73.958,75.0,9.733,ca,60.85,-115.7
arraial do cabo,69.965,81.708,5.0,6.205,br,-22.967,-42.017
ask,64.496,77.708,34.167,11.8,no,60.083,11.033
omura,79.942,88.125,74.0,6.187,jp,32.921,129.954
matinha,78.393,79.208,51.292,3.763,br,-3.1,-45.033
is,57.824,56.167,5.875,7.218,ru,58.793,59.718
south yuba city,92.571,28.708,11.875,6.938,us,39.117,-121.638
lewisporte,62.251,77.375,65.0,7.329,ca,49.233,-55.067
bulgan,65.824,79.875,70.125,3.221,mn,48.811,103.532
carlos chagas,70.085,68.917,28.708,3.323,br,-17.717,-40.75
tunxi,85.096,72.875,99.75,3.04,cn,29.711,118.312
inyonga,66.715,38.5,2.583,5.283,tz,-6.717,32.067
benoy,80.737,78.458,50.583,5.232,td,8.983,16.317
kalevala,70.759,65.083,81.625,4.478,ru,65.205,31.176
mbanza-ngungu,74.413,61.792,4.667,5.571,cd,-5.25,14.867
bronnoysund,64.154,82.5,71.042,11.604,no,65.467,12.217
ikom,76.28,90.292,72.417,2.03,ng,5.961,8.711
krasnokholmskiy,64.296,63.708,60.667,11.37,ru,55.987,55.047
ziro,72.271,86.75,73.917,3.14,in,27.633,93.833
znamenskoye,68.049,69.167,53.417,5.724,ru,57.128,73.828
teresina,84.65,62.958,10.625,5.25,br,-5.083,-42.817
rocky mountain house,64.188,65.542,58.792,5.187,ca,52.367,-114.917
santa maria del oro,72.74,51.167,87.125,5.431,mx,25.933,-105.367
sao paulo de olivenca,74.718,94.667,87.917,1.332,br,-3.45,-68.8
bela vista,74.166,36.583,3.5,5.525,br,-22.1,-56.517
severo-kurilsk,52.438,91.25,98.625,6.456,ru,50.679,156.125
puerto del rosario,74.647,75.958,33.958,9.766,es,28.5,-13.863
kiunga,78.404,89.125,89.625,2.578,pg,-6.117,141.3
uyskoye,59.715,82.75,97.417,13.084,ru,54.345,60.018
praia,75.575,67.875,54.583,9.784,cv,14.917,-23.517
shirokiy,62.551,66.417,62.375,12.912,ru,63.117,147.95
huangmei,85.514,75.042,94.375,4.915,cn,30.192,116.025
nha trang,79.4,85.708,37.083,3.484,vn,12.25,109.183
suntar,63.041,58.083,89.083,4.418,ru,62.144,117.632
kemin,68.033,57.0,50.333,5.786,kg,42.785,75.691
sao gotardo,61.634,49.417,0.0,3.471,br,-19.317,-46.05
minot,76.735,54.917,1.0,8.677,us,48.233,-101.296
betioky,71.537,42.167,0.0,4.896,mg,-23.717,44.383
khani,61.467,69.083,62.5,2.563,ru,57.033,120.967
topeka,69.45,78.625,64.958,8.625,us,39.048,-95.678
tabory,57.763,63.708,64.875,7.29,ru,58.52,64.549
banff,65.707,44.0,48.792,4.679,ca,51.167,-115.567
dingle,58.334,84.583,71.625,5.943,ie,52.141,-10.269
khasan,69.68,92.417,49.792,4.345,ru,42.422,130.653
itoman,82.512,82.75,56.875,6.908,jp,26.125,127.669
starosubkhangulovo,63.762,84.292,44.333,5.422,ru,53.103,57.442
kermanshah,85.925,11.792,0.833,8.343,ir,34.314,47.065
pleasanton,80.765,78.875,46.333,6.296,us,28.967,-98.478
port hardy,56.745,77.167,43.167,9.83,ca,50.717,-127.5
navirai,69.081,50.25,0.0,4.692,br,-23.133,-54.217
chipinge,58.646,63.125,0.792,4.146,zw,-20.2,32.617
gao,92.275,37.292,65.042,6.911,ml,16.267,-0.05
tiruvottiyur,85.4,69.542,75.0,7.397,in,13.158,80.304
yongan,85.084,66.75,99.958,2.875,cn,25.98,117.364
fianarantsoa,57.447,79.375,32.5,5.868,mg,-21.433,47.083
loandjili,73.625,89.875,75.417,6.235,cg,-4.756,11.858
tiassale,76.362,80.833,44.042,3.316,ci,5.898,-4.823
impfondo,76.773,73.667,82.5,2.644,cg,1.638,18.067
lesnoy,57.998,58.542,0.583,7.018,ru,59.781,52.128
baraki barak,83.421,19.958,17.958,4.979,af,33.968,68.949
gimli,79.451,56.208,13.958,5.525,ca,50.633,-97.0
miranda,74.138,33.583,0.0,4.483,br,-20.233,-56.367
porciuncula,66.685,66.75,2.292,3.247,br,-20.967,-42.033
zhanaozen,85.544,22.542,2.458,7.335,kz,43.3,52.8
yarkovo,60.183,72.875,99.75,9.79,ru,57.403,67.079
vila franca do campo,67.925,80.0,44.167,15.153,pt,37.717,-25.433
ginda,86.268,47.375,46.125,7.089,er,15.449,39.089
kearney,68.432,73.667,25.708,10.169,us,40.699,-99.081
starachowice,70.744,49.833,60.125,5.232,pl,51.052,21.088
vagamo,61.015,72.083,74.083,3.411,no,61.883,9.1
port keats,77.659,32.875,67.333,5.957,au,-14.24,129.521
manyana,57.695,27.167,0.0,9.054,bw,-23.4,21.717
staryy saltiv,80.603,51.625,1.667,5.872,ua,50.083,36.794
tambacounda,87.575,64.792,62.708,7.197,sn,13.783,-13.667
sonoita,94.184,33.333,54.917,7.586,mx,31.85,-112.833
dubti,93.432,35.542,36.458,11.267,et,11.736,41.085
nong chik,78.494,84.417,95.667,6.275,th,6.844,101.178
altay,69.777,54.333,80.792,4.587,cn,47.867,88.117
coari,78.086,80.708,98.417,2.972,br,-4.109,-63.139
jabiru,76.218,29.0,63.042,8.2,au,-12.676,132.831
bintulu,81.052,87.792,35.833,3.439,my,3.167,113.033
novo aripuana,80.911,69.458,97.208,2.15,br,-5.12,-60.379
